% Model,Untitled.mph
% Version,COMSOL 5.6.0.401
% Date,"Mar 21 2023, 01:53"
% Dimension,2
% Nodes,1923
% Expressions,3
% Description,"压力, 速度场，x 分量, 速度场，y 分量"
% Length unit,m
% x,y,p (Pa),u (m/s),v (m/s)
0.0943297236556876,0.14526010894812286,1.173116668802918,1.0658366962063093,0.13226650802241088
0.13883640768675867,0.1085604086377882,1.1433989918761986,1.1481014168336732,0.18622491832241236
0.1846621213972636,0.08907305408973697,1.0939054240514035,1.0842134579423188,0.14788853924872278
0.10135151754126101,0.22224398516210625,1.1140328648316524,1.0292456494017526,0.07848848309352933
0.10460692365268491,0.29889439069656343,1.0750595774073173,1.0152271758941342,0.05123351145617216
0.10576374564587294,0.3656861548873466,1.0503580482544252,1.010463378389178,0.03638985596267668
0.10681054107850556,0.4320588243073125,1.0322565550079774,1.0087441410077362,0.025140705814940333
0.10730175579214848,0.49888897146481137,1.019932569292928,1.0085302430491225,0.014806440827943653
0.19009329010488185,0.9046673964493896,0.9811930279439988,1.116872708994762,-0.13032664489640952
0.1420517289379282,0.886451500751872,1.043207590593717,1.1608129210621365,-0.16775200754748407
0.09469183241495685,0.8543945320242252,1.0870536204177137,1.0689716688394897,-0.11760710675193232
0.10132725314100871,0.7732356238204648,1.0419778705724918,1.0302327934517175,-0.05522648003190217
0.10746241333897427,0.5657536680793858,1.013470892015231,1.009551829457841,0.0038957730758276015
0.10720287211759351,0.6324056378246133,1.013434733426597,1.0120065869315216,-0.009143969793038277
0.10545706673495582,0.6991729214733364,1.0212752321401324,1.0171316263667218,-0.026152814762351203
0.22797350362806718,0.9253197731208443,0.9365544516327419,0.9702192187396055,-0.08649864568309955
0.2633711410701085,0.933125529713903,0.9127175633657737,0.8573940323119877,-0.05434152611172201
0.2243850801181742,0.890529433201765,0.9496652120808207,1.130843382727693,-0.11929224881057451
0.3443398396185907,0.9694218203429649,0.8525772144015312,0.39145296352281944,-0.007642866433744399
0.3488372093023253,0.9825235259206972,0.8484989632586952,0.22877416464195116,-0.0026531348514607913
0.314208565727623,0.9542505780855967,0.8720663062549258,0.5864148716909771,-0.02160767892343507
0.2953890162552432,0.9297096583921232,0.8852053773878216,0.8486413117951955,-0.05196044043580902
0.37878422250810007,0.9692926645731018,0.8345310322263207,0.37816179594601657,-0.006314408576356374
0.3837209302325578,0.9824071305190126,0.8311303452964337,0.22126331355928527,-0.002230744195538752
0.21676788247378978,0.09998208961774371,1.0680769134959889,1.0827489642584587,0.1422850569485532
0.250998058136443,0.09237236770651125,1.0475803232021335,1.0100005777802974,0.11875715440008318
0.2868423716104061,0.0714217049551145,1.0295895260476229,0.8167905559422585,0.07030198336084136
0.34152406849493067,0.04505766147655113,1.0093461066809295,0.49584224817231465,0.022798914543717547
0.32307135449895036,0.06497394755269092,1.019256509384678,0.7089288348161618,0.049167854401377595
0.3822710593446784,0.030421813434505427,0.9973284794217933,0.31448406024118863,0.009967783906573697
0.4135791387179881,0.017622493196711594,0.9914761354726689,0.1731643592983786,0.0030939560621607498
0.37574793733351985,0.0456719117858577,1.0013258973890455,0.4694724504959961,0.021980705086425356
0.4479844539572483,0.01770082627394353,0.9873623582875244,0.16233971674597214,0.002955827463907398
0.41609510488519885,0.03070461990790266,0.9942644613594477,0.2977033003044887,0.008881034845853947
0.14902621812142158,0.17791448163796197,1.10985330024382,1.0875936991244697,0.13485834457427173
0.19032185364824072,0.13244375629423386,1.0948181602976907,1.1534686289244698,0.1706819675116543
0.156905571002803,0.25628600688145087,1.0757978418536378,1.0446384343783819,0.08943450949889947
